time,u_numerical,u_exact
0.777344,0.316018,0
0.78125,0.313964,0
0.785156,0.311893,0
0.789062,0.30971,0
0.792969,0.307317,0
0.796875,0.304687,0
0.800781,0.3018,0
0.804688,0.298637,0
0.808594,0.295257,0
0.8125,0.291801,0
0.816406,0.288344,0
0.820312,0.284808,0
0.824219,0.281075,0
0.828125,0.277102,0
0.832031,0.272899,0
0.835938,0.268466,0
0.839844,0.263833,0
0.84375,0.259106,0
0.847656,0.254372,0
0.851562,0.249588,0
0.855469,0.244634,0
0.859375,0.239452,0
0.863281,0.234067,0
0.867188,0.228502,0
0.871094,0.222769,0
0.875,0.216931,0
0.878906,0.211068,0
0.882812,0.205173,0
0.886719,0.199146,0
0.890625,0.192919,0
0.894531,0.186517,0
0.898438,0.179983,0
0.902344,0.173323,0
0.90625,0.166556,0
0.910156,0.159744,0
0.914062,0.152908,0
0.917969,0.145981,0
0.921875,0.138895,0
0.925781,0.131669,0
0.929688,0.124353,0
0.933594,0.116954,0
0.9375,0.10946,0
0.941406,0.101903,0
0.945312,0.094322,0
0.949219,0.0866906,0
0.953125,0.0789526,0
0.957031,0.0711128,0
0.960938,0.0632221,0
0.964844,0.0552893,0
0.96875,0.0472811,0
0.972656,0.039201,0
0.976562,0.0310946,0
0.980469,0.0229734,0
0.984375,0.0148021,0
0.988281,0.00657387,0
0.992188,-0.00167149,0
0.996094,-0.00992216,0
1,-0.0182215,0
1.00391,-0.0265917,0
1.00781,-0.0349897,0
1.01172,-0.0433723,0
1.01562,-0.0517488,0
1.01953,-0.0601339,0
1.02344,-0.0685048,0
1.02734,-0.0768499,0
1.03125,-0.0852137,0
1.03516,-0.093636,0
1.03906,-0.102084,0
1.04297,-0.110491,0
1.04688,-0.118841,0
1.05078,-0.12715,0
1.05469,-0.135415,0
1.05859,-0.143629,0
1.0625,-0.151831,0
1.06641,-0.160069,0
1.07031,-0.168323,0
1.07422,-0.176518,0
1.07812,-0.184611,0
1.08203,-0.192616,0
1.08594,-0.200547,0
1.08984,-0.208407,0
1.09375,-0.216224,0
1.09766,-0.224049,0
1.10156,-0.231874,0
1.10547,-0.239623,0
1.10938,-0.247234,0
1.11328,-0.254716,0
1.11719,-0.262097,0
1.12109,-0.269387,0
1.125,-0.276607,0
1.12891,-0.283801,0
1.13281,-0.290974,0
1.13672,-0.298057,0
1.14062,-0.304976,0
1.14453,-0.311728,0
1.14844,-0.318353,0
1.15234,-0.324874,0
1.15625,-0.331304,0
1.16016,-0.33767,0
1.16406,-0.34398,0
1.16797,-0.350186,0
1.17188,-0.35622,0
1.17578,-0.362069,0
1.17969,-0.367763,0
1.18359,-0.373322,0
1.1875,-0.378761,0
1.19141,-0.38412,0
1.19531,-0.38942,0
1.19922,-0.394599,0
1.20312,-0.399554,0
1.20703,-0.404274,0
1.21094,-0.408853,0
1.21484,-0.413362,0
1.21875,-0.417752,0
1.22266,-0.421939,0
1.22656,-0.425928,0
1.23047,-0.429814,0
1.23438,-0.433651,0
1.23828,-0.437355,0
1.24219,-0.440764,0
1.24609,-0.443825,0
